test group,most ads day,most ads hour,n_users,n_converted,n_impressions
ad,Friday,0,807,16,21636
ad,Friday,1,662,7,18753
ad,Friday,2,825,10,21495
ad,Friday,3,515,2,11000
ad,Friday,4,118,2,3466
ad,Friday,5,129,2,7744
ad,Friday,6,330,4,14506
ad,Friday,7,1018,19,38102
ad,Friday,8,2358,39,69234
ad,Friday,9,4282,86,110806
ad,Friday,10,5353,124,153445
ad,Friday,11,6927,124,183317
ad,Friday,12,6949,136,182715
ad,Friday,13,7166,166,179813
ad,Friday,14,6622,163,160753
ad,Friday,15,6650,176,171365
ad,Friday,16,5523,153,127567
ad,Friday,17,5027,108,125009
ad,Friday,18,4839,116,137878
ad,Friday,19,4593,95,131671
ad,Friday,20,4465,135,132794
ad,Friday,21,4933,144,151190
ad,Friday,22,4737,100,124212
ad,Friday,23,3977,68,91075
ad,Monday,0,820,14,16022
ad,Monday,1,531,9,11996
ad,Monday,2,709,5,16617
ad,Monday,3,316,4,7189
ad,Monday,4,88,0,3173
ad,Monday,5,92,3,5274
ad,Monday,6,262,11,10511
ad,Monday,7,760,14,20433
ad,Monday,8,2412,82,58010
ad,Monday,9,4365,116,100298
ad,Monday,10,5159,157,130382
ad,Monday,11,6433,210,170744
ad,Monday,12,6744,224,180124
ad,Monday,13,6678,232,178029
ad,Monday,14,6039,271,165916
ad,Monday,15,6357,273,180006
ad,Monday,16,5592,209,131200
ad,Monday,17,5432,195,142100
ad,Monday,18,5038,140,136698
ad,Monday,19,4449,136,122387
ad,Monday,20,4567,148,116087
ad,Monday,21,4244,144,100715
ad,Monday,22,3934,118,77762
ad,Monday,23,2550,63,40175
ad,Saturday,0,763,18,18511
ad,Saturday,1,819,7,20767
ad,Saturday,2,900,4,22071
ad,Saturday,3,362,4,8400
ad,Saturday,4,79,0,3942
ad,Saturday,5,88,5,5734
ad,Saturday,6,252,13,17014
ad,Saturday,7,727,17,38342
ad,Saturday,8,2150,50,61808
ad,Saturday,9,3645,60,93900
ad,Saturday,10,4867,79,123612
ad,Saturday,11,5760,84,150948
ad,Saturday,12,5852,108,158013
ad,Saturday,13,6056,121,148164
ad,Saturday,14,5849,118,137653
ad,Saturday,15,5869,128,129928
ad,Saturday,16,5223,104,115083
ad,Saturday,17,4850,109,112292
ad,Saturday,18,4368,112,109442
ad,Saturday,19,4445,119,116044
ad,Saturday,20,4593,111,120337
ad,Saturday,21,4542,146,125474
ad,Saturday,22,3904,99,88087
ad,Saturday,23,2839,63,54477
ad,Sunday,0,910,15,20314
ad,Sunday,1,684,12,18159
ad,Sunday,2,688,4,19433
ad,Sunday,3,368,7,9223
ad,Sunday,4,100,2,2908
ad,Sunday,5,126,2,4776
ad,Sunday,6,277,2,10444
ad,Sunday,7,1089,22,30482
ad,Sunday,8,2627,43,59846
ad,Sunday,9,4041,66,87885
ad,Sunday,10,5545,103,121849
ad,Sunday,11,6525,113,146941
ad,Sunday,12,6275,126,152550
ad,Sunday,13,6212,122,160862
ad,Sunday,14,6983,142,160837
ad,Sunday,15,6609,150,148674
ad,Sunday,16,5383,148,115770
ad,Sunday,17,5077,160,116213
ad,Sunday,18,4810,144,126110
ad,Sunday,19,4520,161,126170
ad,Sunday,20,3733,163,116440
ad,Sunday,21,3705,136,104453
ad,Sunday,22,3344,104,85734
ad,Sunday,23,2701,80,60287
ad,Thursday,0,708,18,17414
ad,Thursday,1,691,13,16976
ad,Thursday,2,683,9,17331
ad,Thursday,3,363,2,6414
ad,Thursday,4,109,3,2969
ad,Thursday,5,91,2,3345
ad,Thursday,6,285,6,10913
ad,Thursday,7,1005,16,26416
ad,Thursday,8,2722,41,56906
ad,Thursday,9,4404,70,88659
ad,Thursday,10,4945,85,112049
ad,Thursday,11,5171,118,126589
ad,Thursday,12,5892,115,150076
ad,Thursday,13,6374,124,160165
ad,Thursday,14,6543,167,154446
ad,Thursday,15,5980,147,153627
ad,Thursday,16,5523,145,118137
ad,Thursday,17,4801,103,114518
ad,Thursday,18,4303,98,99928
ad,Thursday,19,3970,96,86482
ad,Thursday,20,3801,109,89256
ad,Thursday,21,4222,88,91442
ad,Thursday,22,3680,80,78733
ad,Thursday,23,2811,56,57142
ad,Tuesday,0,713,14,12590
ad,Tuesday,1,632,9,12053
ad,Tuesday,2,728,4,13945
ad,Tuesday,3,336,7,7558
ad,Tuesday,4,100,2,2792
ad,Tuesday,5,76,1,1783
ad,Tuesday,6,221,5,5324
ad,Tuesday,7,729,16,13532
ad,Tuesday,8,2412,44,51716
ad,Tuesday,9,4440,105,108352
ad,Tuesday,10,5773,122,140769
ad,Tuesday,11,6481,176,151948
ad,Tuesday,12,6588,205,168309
ad,Tuesday,13,6491,210,164469
ad,Tuesday,14,6371,230,156199
ad,Tuesday,15,5656,233,144324
ad,Tuesday,16,4103,187,94662
ad,Tuesday,17,4084,144,98782
ad,Tuesday,18,3621,131,91215
ad,Tuesday,19,3298,94,78685
ad,Tuesday,20,3397,92,84498
ad,Tuesday,21,3898,93,85084
ad,Tuesday,22,2639,91,63019
ad,Tuesday,23,1785,55,40423
ad,Wednesday,0,588,7,14195
ad,Wednesday,1,596,5,17603
